jittered_title,seed_title,onet_code,onet_name
Software QA Engineer - Automation & Manual Testing (100% Remote),Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
"Experienced SQA Engineer Needed: Agile Team, Exciting Projects!",Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Quality Assurance Engineer (Software) - Contract-to-Hire Opportunity,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
SQA Engineer - Immediate Opening - Competitive Salary & Benefits,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Hiring Now: Software Quality Assurance Engineer (Cypress/Selenium Experience Preferred),Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Cost Estimator - Join Our Growing Construction Division!,Cost Estimator,13-1051.00,Cost Estimators
Senior Cost Estimator Needed (Manufacturing & Supply Chain),Cost Estimator,13-1051.00,Cost Estimators
Estimator / Cost Analyst - Competitive Pay + Bonus Structure,Cost Estimator,13-1051.00,Cost Estimators
"Cost Estimator Position – Excellent Benefits, Immediate Start",Cost Estimator,13-1051.00,Cost Estimators
Experienced Cost Estimator Wanted - Flexible Hybrid Schedule Available,Cost Estimator,13-1051.00,Cost Estimators
"Custom Sewer (Industrial Fabrics) - Full-Time, Day Shift",Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Immediate Hire: Custom Sewer - Upholstery & Textile Department,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Custom Sewer Needed – Experienced in High-End Apparel & Accessories,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Join Our Team: Custom Sewer – Flexible Hours Available!,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Skilled Custom Sewer Wanted - Excellent Pay & Benefits,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
"Mobile Heavy Equipment Mechanic – $10,000 Sign-On Bonus!",Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
"Heavy Equipment Mechanic Needed – Field Service, Great Pay!",Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Immediate Opening: Mobile Equipment Mechanic (Diesel & Hydraulic Systems),Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Experienced Mobile Heavy Equipment Mechanic Required – Join Our Team Today,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Hiring Mobile Heavy Equipment Technician - Excellent Benefits & Overtime,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Design Editor (Digital & Print) – Exciting Publishing Opportunity,Design Editor,43-9031.00,Desktop Publishers
Creative Design Editor Needed – Join Our Award-Winning Team!,Design Editor,43-9031.00,Desktop Publishers
Immediate Opening: Experienced Design Editor (Adobe Suite Proficiency Required),Design Editor,43-9031.00,Desktop Publishers
"Design Editor Wanted – Hybrid Remote, Competitive Salary",Design Editor,43-9031.00,Desktop Publishers
Seeking Talented Design Editor - Great Growth Potential & Flexible Schedule,Design Editor,43-9031.00,Desktop Publishers
Forklift Driver - Night Shift (Immediate Start!),Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Experienced Warehouse Forklift Driver - Full Benefits,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Forklift Operator/Driver - Up to $20/hr + Sign-On Bonus,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Temp-to-Hire Forklift Driver Needed at Distribution Center,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Certified Forklift Driver | 2nd Shift | Urgent Hire,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Director of Sustainability Programs & Initiatives - Global Operations,Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Sustainability Programs Director - Corporate Social Responsibility,Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
"Senior Director, Sustainability Programs (Hybrid/Remote)",Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Director - Sustainability & Environmental Programs (East Coast),Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Executive Leadership Role: Sustainability Programs Director,Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Community Planner - Urban Development & Public Spaces,Community Planner,19-3051.00,Urban and Regional Planners
"Experienced Community Planner (City, Parks & Recreation Dept.)",Community Planner,19-3051.00,Urban and Regional Planners
"Community Planner, Neighborhood Revitalization Project",Community Planner,19-3051.00,Urban and Regional Planners
Hiring Community Planner | New Initiatives & Civic Engagement,Community Planner,19-3051.00,Urban and Regional Planners
Community Planner Needed - Regional Growth & Strategy Team,Community Planner,19-3051.00,Urban and Regional Planners
Licensed Nuclear Operator - Competitive Pay & Relocation Assistance,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Immediate Opening: Licensed Nuclear Operator - Reactor Operations,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Licensed Nuclear Operator - Excellent Benefits & Career Growth,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Seeking Licensed Nuclear Operator (Power Generation Facility),Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Licensed Nuclear Operator | Night Shift Position Available,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Financial Aid Counselor - University Student Support Services,Financial Aid Counselor,13-2072.00,Loan Officers
Financial Aid Counselor Required (FT/PT Opportunities Available!),Financial Aid Counselor,13-2072.00,Loan Officers
Hiring Financial Aid Counselor: Scholarships & Grants Specialist,Financial Aid Counselor,13-2072.00,Loan Officers
Financial Aid Counselor - Join Our Admissions Team Today,Financial Aid Counselor,13-2072.00,Loan Officers
Experienced Financial Aid Counselor - Remote Options Available,Financial Aid Counselor,13-2072.00,Loan Officers
"Banquet Server - Flexible Shifts Available, Immediate Start!",Banquet Server,35-3031.00,Waiters and Waitresses
Join Our Event Team as a Banquet Server (Part-Time Evenings),Banquet Server,35-3031.00,Waiters and Waitresses
Experienced Banquet Server Needed - Weddings & Events (Weekends Only),Banquet Server,35-3031.00,Waiters and Waitresses
Banquet Server Positions Open - Great Tips & Team Environment!,Banquet Server,35-3031.00,Waiters and Waitresses
On-Call Banquet Server - Luxury Hotel Downtown,Banquet Server,35-3031.00,Waiters and Waitresses
