seed_title,onet_code,onet_name
Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Cost Estimator,13-1051.00,Cost Estimators
Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Design Editor,43-9031.00,Desktop Publishers
Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Community Planner,19-3051.00,Urban and Regional Planners
Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Financial Aid Counselor,13-2072.00,Loan Officers
Banquet Server,35-3031.00,Waiters and Waitresses
Tree Planter,45-4011.00,Forest and Conservation Workers
Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Materials Research Engineer,17-2131.00,Materials Engineers
School Treasurer,11-3031.01,Treasurers and Controllers
Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
Cocktail Server,35-3031.00,Waiters and Waitresses
Family Therapist,21-1013.00,Marriage and Family Therapists
Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Benefits Director,11-3111.00,Compensation and Benefits Managers
Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Adult Neurologist,29-1217.00,Neurologists
Millwright Business Representative,49-9044.00,Millwrights
Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
Medical Dosimetrist,29-1124.00,Radiation Therapists
Interior Design Consultant,27-1025.00,Interior Designers
Food Chemist,19-1012.00,Food Scientists and Technologists
Training Specialist,13-1151.00,Training and Development Specialists
Hematopathologist,29-1222.00,"Physicians, Pathologists"
Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Telemarketer,41-9041.00,Telemarketers
Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Box Spring Upholsterer,51-6093.00,Upholsterers
Public Health Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Robotic Systems Engineer,17-2199.08,Robotics Engineers
Paver Layer,47-4091.00,Segmental Pavers
Aircraft Mechanic,49-3011.00,Aircraft Mechanics and Service Technicians
Clock Repair Technician,49-9064.00,Watch and Clock Repairers
Parking Enforcement Technician,33-3041.00,Parking Enforcement Workers
Front End Developer,15-1252.00,Software Developers
Business Continuity Professional,13-1199.04,Business Continuity Planners
Florist,27-1023.00,Floral Designers
Fixed Income Vice President (Fixed Income VP),11-3031.03,Investment Fund Managers
Parts Cleaner,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
Job Superintendent,11-9021.00,Construction Managers
Speech-Language Assistant,31-9099.01,Speech-Language Pathology Assistants
Stock Preparation Operator (Stock Prep Operator),51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
Fence Erector,47-4031.00,Fence Erectors
Bulk Delivery Driver,53-3033.00,Light Truck Drivers
Billing Coordinator,43-3021.00,Billing and Posting Clerks
Station Agent,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Motorboat Operator,53-5022.00,Motorboat Operators
Cytology Applications Specialist,29-2011.02,Cytotechnologists
Locksmith,49-9094.00,Locksmiths and Safe Repairers
Carpenter's Helper,47-3012.00,Helpers--Carpenters
Machine Tender,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Process Improvement Engineer,17-2112.03,Manufacturing Engineers
Quality Director,11-3051.01,Quality Control Systems Managers
Project Engineering Manager,11-9041.00,Architectural and Engineering Managers
Broadcast Meteorologist,19-2021.00,Atmospheric and Space Scientists
